graph,component,component,distance
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:precise/redis-master,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/zend-server,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/tomcat,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/python-django,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:precise/rails,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/haproxy,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:precise/openvpn-as,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/nagios,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/hdp-hive,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/hdp-hadoop,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:~vpalos/trusty/kafka,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/hdp-storm,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/hdp-zookeeper,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/mongos,cs:precise/mongodb/mongos,0
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/mongos,cs:precise/mongodb/shard2,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/mongos,cs:precise/mongodb/shard1,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/mongos,cs:precise/mongodb/configsvr,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb/mongos,cs:precise/mongodb/shard3,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/hdp-hadoop,0
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/hdp-hive,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/nrpe,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/ganglia-node,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/landscape-client,1
